,Name,Brand,Price,Image_URL,Product_URL
0,Maya Petite Bridesmaid short sleeve maxi tulle dress with tonal delicate sequins in navy,Maya Petite,€137.99,images.asos-media.com/products/maya-petite-bridesmaid-short-sleeve-maxi-tulle-dress-with-tonal-delicate-sequins-in-navy/201395104-1-navy,maya-petite/maya-petite-bridesmaid-short-sleeve-maxi-tulle-dress-with-tonal-delicate-sequins-in-navy/prd/201395104#colourWayId-201395108
1,adidas Originals Gazelle Bold platform trainers in cream/green with gum sole,adidas Originals,€120.00,images.asos-media.com/products/adidas-originals-gazelle-bold-platform-trainers-in-cream-green-with-gum-sole/204837346-1-cream,adidas-originals/adidas-originals-gazelle-bold-platform-trainers-in-cream-green-with-gum-sole/prd/204837346#colourWayId-204837347
2,Vero Moda textured long sleeved top and maxi skirt co-ord in chocolate brown,Vero Moda,€87.98,images.asos-media.com/groups/vero-moda-textured-long-sleeved-top-and-maxi-skirt-co-ord-in-chocolate-brown/206149709-group-1,vero-moda/vero-moda-textured-long-sleeved-top-and-maxi-skirt-co-ord-in-chocolate-brown/grp/206149709
3,4th & Reckless Dianna lounge tracksuit in grey marl,4th & Reckless,€103.98,images.asos-media.com/groups/4th-reckless-dianna-lounge-tracksuit-in-grey-marl/206161792-group-1,4th-reckless/4th-reckless-dianna-lounge-tracksuit-in-grey-marl/grp/206161792#colourWayId-205599726
4,ASOS DESIGN halter crochet knit maxi beach dress in black,ASOS DESIGN,€49.99,images.asos-media.com/products/asos-design-halter-crochet-knit-maxi-beach-dress-in-black/205870366-1-black,asos-design/asos-design-halter-crochet-knit-maxi-beach-dress-in-black/prd/205870366#colourWayId-205870367
5,ASOS DESIGN off shoulder linen maxi dress with knot detail in chocolate,ASOS DESIGN,€39.99,images.asos-media.com/products/asos-design-off-shoulder-linen-maxi-dress-with-knot-detail-in-chocolate/205511821-1-chocolate,asos-design/asos-design-off-shoulder-linen-maxi-dress-with-knot-detail-in-chocolate/prd/205511821#colourWayId-205511822
6,ASOS DESIGN Petite mesh long sleeve dobby polka dot flock bodysuit in black,ASOS Petite,€32.99,images.asos-media.com/products/asos-design-petite-mesh-long-sleeve-dobby-polka-dot-flock-bodysuit-in-black/203915181-1-black,asos-petite/asos-design-petite-mesh-long-sleeve-dobby-polka-dot-flock-bodysuit-in-black/prd/203915181#colourWayId-203915182
7,ASOS DESIGN mesh bodysuit in chocolate,ASOS DESIGN,€22.99,images.asos-media.com/products/asos-design-mesh-bodysuit-in-chocolate/204971221-1-chocolate,asos-design/asos-design-mesh-bodysuit-in-chocolate/prd/204971221#colourWayId-204971225
8,ASOS DESIGN quilt lined harrington jacket in black,ASOS DESIGN,€59.99,images.asos-media.com/products/asos-design-quilt-lined-harrington-jacket-in-black/204668970-1-black,asos-design/asos-design-quilt-lined-harrington-jacket-in-black/prd/204668970#colourWayId-204668972
9,ASOS DESIGN brushed bomber jacket in charcoal,ASOS DESIGN,€74.99,images.asos-media.com/products/asos-design-brushed-bomber-jacket-in-charcoal/204874504-1-charcoal,asos-design/asos-design-brushed-bomber-jacket-in-charcoal/prd/204874504#colourWayId-204874515
10,Topshop Joni jeans in black,Topshop,€47.99,images.asos-media.com/products/topshop-joni-jeans-in-black/201857598-1-black,topshop/topshop-joni-jeans-in-black/prd/201857598#colourWayId-201857616
11,Topshop Jamie flare jeans in black,Topshop,€54.99,images.asos-media.com/products/topshop-jamie-flare-jeans-in-black/203038284-1-black,topshop/topshop-jamie-flare-jeans-in-black/prd/203038284#colourWayId-203038288
12,Nike Air Max 1 trainers in leopard print,Nike,€159.99,images.asos-media.com/products/nike-air-max-1-trainers-in-leopard-print/205298253-1-beige,nike/nike-air-max-1-trainers-in-leopard-print/prd/205298253#colourWayId-205298270
13,ellesse Panaro cupsole trainers in white and blue,ellesse,€94.99,images.asos-media.com/products/ellesse-panaro-cupsole-trainers-in-white-and-blue/205020164-1-white,ellesse/ellesse-panaro-cupsole-trainers-in-white-and-blue/prd/205020164#colourWayId-205020165
14,Topshop 80s clean short sleeve top in stone,Topshop,€39.99,images.asos-media.com/products/topshop-80s-clean-short-sleeve-top-in-stone/205806874-1-stone,topshop/topshop-80s-clean-short-sleeve-top-in-stone/prd/205806874#colourWayId-205806875
15,Topshop clean square neck long sleeve top in black,Topshop,€27.99,images.asos-media.com/products/topshop-clean-square-neck-long-sleeve-top-in-black/205618677-1-black,topshop/topshop-clean-square-neck-long-sleeve-top-in-black/prd/205618677#colourWayId-205618688
16,ASOS DESIGN button through waistcoat & maxi skirt in stone co-ord,ASOS DESIGN,€54.98,images.asos-media.com/groups/asos-design-button-through-waistcoat-maxi-skirt-in-stone-co-ord/206168821-group-1,asos-design/asos-design-button-through-waistcoat-maxi-skirt-in-stone-co-ord/grp/206168821
